row_number,id,weight,originHubId,destinationHubId,priority,reasons
8875,PKG-008874,371.43,,WH-023,LOW,Missing foreign key: originHubId
8906,PKG-008905,104.23,,WH-027,STANDARD,Missing foreign key: originHubId
8912,PKG-008911,43.4209270664338,WH-019,,LOW,Missing foreign key: destinationHubId
8943,PKG-008942,494.82,,WH-050,LOW,Missing foreign key: originHubId
8953,PKG-008952,225.87,,WH-087,LOW,Missing foreign key: originHubId
8985,PKG-008984,,WH-028,,LOW,Missing foreign key: destinationHubId
8992,PKG-008991,312.99,,WH-085,LOW,Missing foreign key: originHubId
9022,PKG-009021,185.79,,WH-067,LOW,Missing foreign key: originHubId
9028,PKG-009027,287.18,WH-060,,URGENT,Missing foreign key: destinationHubId
9097,PKG-009096,84.16789182261309,WH-096,,LOW,Missing foreign key: destinationHubId
9098,PKG-009097,370.16,,WH-045,STANDARD,Missing foreign key: originHubId
9126,PKG-009125,200.14,,WH-050,STANDARD,Missing foreign key: originHubId
9142,PKG-009141,131.56,,WH-088,LOW,Missing foreign key: originHubId
9182,PKG-009181,393.95,,WH-059,STANDARD,Missing foreign key: originHubId
9193,PKG-009192,236.33,,WH-098,LOW,Missing foreign key: originHubId
9207,PKG-009206,,,WH-088,LOW,Missing foreign key: originHubId
9219,PKG-009218,159.03,,WH-030,LOW,Missing foreign key: originHubId
9253,PKG-009252,393.82,WH-056,,URGENT,Missing foreign key: destinationHubId
9256,PKG-009255,454.36,WH-071,,URGENT,Missing foreign key: destinationHubId
9348,PKG-009347,284.94,WH-015,,STANDARD,Missing foreign key: destinationHubId
9375,PKG-009374,2.59,,WH-034,STANDARD,Missing foreign key: originHubId
9388,PKG-009387,75.75,,WH-078,LOW,Missing foreign key: originHubId
9447,PKG-009446,17.43,WH-084,,STANDARD,Missing foreign key: destinationHubId
9486,PKG-009485,37.08,,WH-029,URGENT,Missing foreign key: originHubId
9502,PKG-009501,485.8,,WH-089,LOW,Missing foreign key: originHubId
9528,PKG-009527,461.96,WH-002,,LOW,Missing foreign key: destinationHubId
9568,PKG-009567,239.91,,WH-071,URGENT,Missing foreign key: originHubId
9583,PKG-009582,22.16,,WH-032,LOW,Missing foreign key: originHubId
9605,PKG-009604,317.94,,WH-013,LOW,Missing foreign key: originHubId
9620,PKG-009619,88.8,,WH-071,URGENT,Missing foreign key: originHubId
9634,PKG-009633,43.71,WH-068,,STANDARD,Missing foreign key: destinationHubId
9648,PKG-009647,28.08,,WH-031,LOW,Missing foreign key: originHubId
9677,PKG-009676,179.37,WH-088,,STANDARD,Missing foreign key: destinationHubId
9718,PKG-009717,294.93,WH-065,,STANDARD,Missing foreign key: destinationHubId
9762,PKG-009761,117.98,WH-026,,URGENT,Missing foreign key: destinationHubId
9766,PKG-009765,118.26,WH-001,,URGENT,Missing foreign key: destinationHubId
9773,PKG-009772,82.1,WH-063,,URGENT,Missing foreign key: destinationHubId
9779,PKG-009778,327.84,WH-095,,LOW,Missing foreign key: destinationHubId
9863,PKG-009862,10.85,,WH-086,URGENT,Missing foreign key: originHubId
9886,PKG-009885,152.96,WH-059,,LOW,Missing foreign key: destinationHubId
9937,PKG-009936,246.46,,WH-080,STANDARD,Missing foreign key: originHubId
9951,PKG-009950,377.79849267305366,WH-078,,LOW,Missing foreign key: destinationHubId
9973,PKG-009972,418.1,,WH-089,STANDARD,Missing foreign key: originHubId
